TimeStamp,hgb,xgb,rfr,vr,actual,prophet,sarimax
2022-01-03 03:00:00,57.66470189,98.1752922,114.8809,109.4401284,244.99,173.7132969,123.08242521490456
2022-01-03 04:00:00,56.64184723,100.2679225,117.2055,112.7152739,245.195,175.5794077,123.69530166912537
2022-01-03 05:00:00,63.12526557,105.7207766,117.5185,114.5623993,245.195,179.7035761,125.2832829781612
2022-01-03 06:00:00,71.66624843,109.8491085,117.5639,120.5785534,245.195,183.7470666,127.88896022788396
2022-01-03 07:00:00,84.21809128,119.0238887,118.6483,127.9465046,245.195,186.3838466,128.87508039134232
2022-01-03 08:00:00,90.60301294,132.793255,118.4284,143.4701385,245.195,185.3020274,130.58936255087724
2022-01-03 09:00:00,94.63456267,149.489272,117.9018,151.2733497,245.195,184.4019107,136.47091137969505
2022-01-03 10:00:00,94.9076485,157.8615282,115.2352,151.0416181,245.195,187.4393445,139.25601771724564
2022-01-03 11:00:00,96.37555702,163.1840501,113.5297,151.5122962,245.195,188.7991505,141.96045748595674
2022-01-03 12:00:00,99.59875642,161.5079941,112.5419,153.9667147,245.195,187.7174172,144.42939736158996
2022-01-03 13:00:00,96.52346793,156.681928,115.7143,155.5544316,245.195,188.1414758,143.6443801899958
2022-01-03 14:00:00,97.76157186,158.3569271,118.9462,162.2321174,245.195,189.3849305,142.6811625453298
2022-01-03 15:00:00,102.8423872,172.124959,121.322,169.8311412,245.195,194.4669173,146.18292187739672
2022-01-03 16:00:00,125.2702813,195.8686042,130.5552,174.0033222,245.195,208.1607698,160.3892810940195
2022-01-03 17:00:00,142.2858446,223.3790023,148.68735,173.550006,245.195,226.5264046,162.45821229932596
2022-01-03 18:00:00,130.7289793,220.7818351,152.33345,154.9123203,245.195,227.6255096,156.00903546933634
2022-01-03 19:00:00,108.3091628,210.3220351,141.15345,143.0912106,245.195,214.7066936,153.17553440278368
2022-01-03 20:00:00,97.9110681,194.234605,138.3236,134.2239525,245.195,203.2034211,143.23608833798843
2022-01-03 21:00:00,91.76262038,179.8185452,133.02065,125.9857143,245.195,192.0078878,136.40003559771657
2022-01-03 22:00:00,83.58812933,164.7094853,127.909,121.1038857,245.195,188.752062,132.21845641066454
2022-01-03 23:00:00,78.73679189,144.6568732,125.55235,114.1048093,243.53,191.2365575,145.1773873423864
2022-01-04 00:00:00,77.92359272,144.6338938,129.28795,120.0217245,245.195,189.9909251,142.7988121302773
2022-01-04 01:00:00,76.36748599,138.7628712,131.5563,122.8345245,245.195,189.016085,135.72552165329034
2022-01-04 02:00:00,72.71473659,130.480947,138.08165,124.610372,245.03,181.8051397,129.69499830290792
2022-01-04 03:00:00,70.49065592,119.0160542,154.2242,126.9107895,245.195,177.6498043,129.60191957537484
2022-01-04 04:00:00,71.37720253,119.5509778,161.4029,137.5359623,245.195,181.1320747,129.66382933891128
2022-01-04 05:00:00,77.51830908,121.9912531,166.552,146.3591522,245.195,185.790517,133.10387050983087
2022-01-04 06:00:00,91.60685064,128.6742285,166.4078,154.680592,245.195,192.5747727,147.1662562904011
2022-01-04 07:00:00,106.1807916,148.0135916,166.3947,163.9473759,245.195,204.5786262,166.23526217932022
2022-01-04 08:00:00,113.5480686,153.5095199,165.3583,166.5632854,245.195,220.9490117,173.5172979169874
2022-01-04 09:00:00,115.1322504,164.3691463,166.3876,165.5606762,245.195,226.2383621,177.78084121081602
2022-01-04 10:00:00,110.9550402,176.6765325,166.8206,164.1364678,245.195,227.9950145,181.9868105068263
2022-01-04 11:00:00,107.0829426,186.9043724,166.9842,164.6479791,245.195,229.4811686,182.83390813197008
2022-01-04 12:00:00,102.8693164,189.4920537,167.91,166.778992,245.195,227.4840136,183.6297029035259
2022-01-04 13:00:00,99.13011838,190.0692235,167.9593,167.0800023,245.195,227.8791156,181.1865729341278
2022-01-04 14:00:00,99.4729446,189.8891497,169.23995,166.9642589,245.195,225.773858,179.8485415009265
2022-01-04 15:00:00,107.6803886,196.8188249,174.3079,168.3003101,245.195,232.3073643,181.52807457197684
2022-01-04 16:00:00,124.8948103,208.0573945,182.8243,177.1319776,245.195,242.8484114,191.93000088945462
2022-01-04 17:00:00,143.6692701,216.9091341,185.7037,179.2438267,245.195,263.108057,192.27321273442965
2022-01-04 18:00:00,127.3442327,214.5410732,180.60225,163.1323185,245.195,262.877508,185.26025293627958
2022-01-04 19:00:00,112.5351717,204.7967066,173.55445,144.3616107,245.195,248.6416051,178.63217948343737
2022-01-04 20:00:00,103.126408,199.5165762,158.49045,137.4865198,245.195,232.7125495,173.90329729960058
2022-01-04 21:00:00,95.98235328,184.7731423,140.76485,131.6385225,245.195,226.8056632,166.1300864846289
2022-01-04 22:00:00,86.125787,168.3950928,138.4602,125.7632564,245.195,220.3976043,159.88285031960606
2022-01-04 23:00:00,82.37720873,146.784677,139.8295,125.0983591,245.195,216.5624379,163.90936123276015
2022-01-05 00:00:00,84.92875996,152.086492,154.8612,130.9914413,239.8808696,208.9295015,162.14331113847757
2022-01-05 01:00:00,85.78432047,152.3009952,161.64475,133.896924,234.5667391,208.8659453,156.0506310904737
2022-01-05 02:00:00,86.84616891,150.4108852,170.5863,140.5067756,229.2526087,202.1970074,148.02846266329658
2022-01-05 03:00:00,87.033503,141.878584,177.12445,143.9647547,223.9384783,198.1156198,148.4407051088657
2022-01-05 04:00:00,88.66210781,152.2894923,189.3733,151.5493733,218.6243478,201.4270404,152.15031678106521
2022-01-05 05:00:00,99.15706191,163.8903499,198.0655,159.7402161,213.3102174,209.2362876,160.00625449246962
2022-01-05 06:00:00,119.1642955,182.8822925,204.54365,168.8415367,207.996087,217.1717442,169.40669194615427
2022-01-05 07:00:00,140.4618422,210.5826907,204.8311,174.8165948,202.6819565,231.6985146,177.59839010660357
2022-01-05 08:00:00,144.0314803,223.2826282,199.9194,183.4998507,197.3678261,240.2481647,184.62293112204281
2022-01-05 09:00:00,140.3292321,223.6678602,191.803,182.1008823,192.0536957,245.0392234,188.4020991555761
