Date (GMT+1),Hydro Run-of-River,Fossil hard coal,Fossil oil,Fossil peat,Fossil gas,Hydro pumped storage,Others,Wind onshore,Load
02-01-2022 12.00,157.5,207.8,164.7,46.2,185.4,20.1,0,2367.8,3511
02-01-2022 12.30,157.8,209.9,164.4,46.2,186.7,20.1,0,2438,3591.5
02-01-2022 13.00,156.3,208.3,164.1,46.2,183.3,19.9,0,2550.6,3635.4
02-01-2022 13.30,156,206.7,165.1,46.2,183.8,20,0,2517,3630.4
02-01-2022 14.00,158.4,210.6,167.1,46.3,190.1,20.4,0,2441.7,3594.9
02-01-2022 14.30,157.5,208.1,165.1,46.2,184.3,19.8,0,2617,3595.5
02-01-2022 15.00,157.6,207.4,165.4,46.2,185.3,19.9,0,2635,3612.7
02-01-2022 15.30,157,205.8,165.1,46.2,186.6,19.6,0,2657.9,3605
02-01-2022 16.00,157.3,208.5,164.7,46.2,184.9,20.4,0,2805.2,3667.4
02-01-2022 16.30,158.6,209.7,168.4,46.2,192.8,23.9,0,3015,3857.4
02-01-2022 17.00,158.4,209.7,164.7,73.5,187.2,60,0,3189.6,4071.6
02-01-2022 17.30,158,214.9,175.1,92.5,237.7,63.9,0,3296.5,4245
02-01-2022 18.00,157.5,212.2,171.1,100.7,251.4,22.6,0,3270.4,4212.3
02-01-2022 18.30,155.8,208.8,164.4,64.9,188.8,20.1,0,3093.8,4139.7
02-01-2022 19.00,157.9,210.6,169.4,46.1,194.3,21.2,0,2958.3,4010.3
02-01-2022 19.30,155.9,207.2,164.7,46.3,186.9,19.9,0,2728.2,3864.8
02-01-2022 20.00,156.7,210.2,169.1,46,194,21.3,0,2612.3,3765.7
02-01-2022 20.30,154.7,208.1,165.1,46,184.1,19.8,0,2557.2,3663
02-01-2022 21.00,155.1,208.3,165.1,46.1,185.1,19.8,0,2549.5,3575.9
02-01-2022 21.30,152.2,207.6,165.4,46.1,182.7,19.8,0,2510.3,3484
02-01-2022 22.00,154.4,207.6,164.7,46.2,185.1,19.9,0,2380.1,3359.2
02-01-2022 22.30,153.4,206.9,165.1,46.2,184.2,19.7,0,2373.7,3262.9
02-01-2022 23.00,154.9,207.6,165.1,46.1,184.3,20,0,2237.7,3201.1
02-01-2022 23.30,155.3,207.8,164.7,50.3,187,20,0,2071.1,3172.8
03-01-2022 0.00,155.6,208.5,164.4,50.3,188,19.4,0,1778.4,3043.1
03-01-2022 0.30,155.8,209.4,165.7,50.1,190.4,0,0,2051.4,2960
03-01-2022 1.00,153.8,206.7,165.1,50.3,185.2,0,0,2013.3,2867.9
03-01-2022 1.30,154.7,207.6,165.1,50.1,186.2,0,0,1656.1,2759.5
03-01-2022 2.00,157.6,217,181.5,50.5,208.9,0,0,1646.6,2681.8
03-01-2022 2.30,157,212.2,173.1,50.3,197.7,0,0,1751.3,2650.7
