Date (GMT+1),Hydro Run-of-River,Fossil hard coal,Fossil oil,Fossil peat,Fossil gas,Hydro pumped storage,Others,Wind onshore,Load
01-01-2020 0.00,153.3,0,444,197.9,811.1,13.8,0,318.7,3036.5
01-01-2020 0.30,153.6,0,475.9,197.5,816.3,0,0,314.4,2972.7
01-01-2020 1.00,150.1,0,478.6,198.5,722.9,0,0,319.7,2894.7
01-01-2020 1.30,149.3,0,472.2,197,584.8,0,0,332.4,2802
01-01-2020 2.00,149.7,0,476.1,216.9,588.2,0,0,357.6,2720.2
01-01-2020 2.30,147.8,0,457,233.3,581.6,0,0,399.6,2634.1
01-01-2020 3.00,149.1,0,345.5,241.6,571.3,0,0,458.6,2543.5
01-01-2020 3.30,154.6,0,237.2,244.2,594.7,0,0,524.2,2505.3
01-01-2020 4.00,149.9,0,218.4,246.5,538.5,0,0,592.7,2484.7
01-01-2020 4.30,149.1,0,217.1,244.3,535.8,0,0,626,2448.4
01-01-2020 5.00,150.2,0,225.9,267,429.9,0,0,592.5,2414
01-01-2020 5.30,149.4,0,217.2,259,497.2,0,0,556.1,2405.1
01-01-2020 6.00,152.1,0,231.7,245.7,512.4,0,0,548.4,2405.4
01-01-2020 6.30,155.3,0,355.3,246.1,520.8,0,0,477.7,2452.7
01-01-2020 7.00,146.6,0,322.5,243.1,483,0,0,511.6,2469.4
01-01-2020 7.30,149.5,0,331.4,243.8,495.5,0,0,509.1,2491.3
01-01-2020 8.00,149.1,0,329.1,241.8,388,15,0,611.9,2526.2
01-01-2020 8.30,147.4,0,322.1,259.5,378,15.4,0,593.1,2514.1
01-01-2020 9.00,150.2,0,215.8,270.8,393.7,15.4,0,685,2554.4
01-01-2020 9.30,155.2,0,215.2,265.5,525.4,23.1,0,724.3,2669.5
01-01-2020 10.00,152.1,0,299.6,271.9,598,18.4,0,801,2796.2
01-01-2020 10.30,151.5,0,290.9,272.4,596.1,16.6,0,890.5,2937
01-01-2020 11.00,151.5,0,415,287.3,596.3,17.6,0,935.8,3045.9
01-01-2020 11.30,153.6,0,452.6,317.5,597.4,26.9,0,899.1,3159.8
01-01-2020 12.00,148,0,433.4,283.4,582,19.8,0,1044.6,3259.9
01-01-2020 12.30,149.8,0,439.8,285.3,588.2,20.4,0,1050.1,3329.1
01-01-2020 13.00,151,4.3,446.2,287.9,593.3,22.6,0,1055.6,3370.3
01-01-2020 13.30,149.1,43,429.1,282.3,575.3,19.9,0,1120.3,3378.9
01-01-2020 14.00,153.2,75.7,453.2,290.6,594.7,29.1,0,1124.6,3347.3
01-01-2020 14.30,149.6,79.1,434.8,283.9,581.1,20.3,0,1154.3,3301.1
01-01-2020 15.00,151.7,78.7,367,282.3,571.4,20.1,0,1341,3276.1
01-01-2020 15.30,158.9,78.4,375.4,285.1,582.2,20.3,0,1423.7,3281.4
01-01-2020 16.00,172.7,78,376.4,286.6,579.9,20.1,0,1589,3399.5
01-01-2020 16.30,176.8,102.4,306.3,297.6,589.1,23,0,1745,3517
01-01-2020 17.00,178.6,105.4,270.7,313.5,592.8,121.6,0,1906.5,3717.7
01-01-2020 17.30,176.9,101.1,260,317.8,591.3,167.7,0,2014.1,3816
01-01-2020 18.00,173.8,100.8,166.4,312.2,578.8,164,0,2190.4,3815.8
01-01-2020 18.30,175.4,102,173.1,315.4,392.4,102.8,0,2276.2,3750.1
01-01-2020 19.00,174.8,100.8,164.4,310.7,346.9,96.7,0,2242.3,3646.6
01-01-2020 19.30,173.6,99.2,164.4,311.2,348,57.3,0,2404.5,3614.7
01-01-2020 20.00,177.5,94.9,171.4,284.5,325.4,25.3,0,2408.1,3567.5
01-01-2020 20.30,173.8,78,164.7,224.1,304.8,21.8,0,2450.7,3477.1
01-01-2020 21.00,180.8,84.4,176.8,237.2,331.4,27.5,0,2455.2,3409.8
01-01-2020 21.30,161.4,87.8,183.2,239.3,339.1,31.8,0,2336.6,3301.6
01-01-2020 22.00,150.4,79.8,163.7,231.4,318.6,20,0,2279.5,3187.1
01-01-2020 22.30,148.7,79.3,164,179.3,311,22.3,0,2279.3,3107.1
01-01-2020 23.00,151.2,80.3,172.8,157.8,353.4,23.4,0,2135.9,3013.1
01-01-2020 23.30,144.5,80,169.4,157.8,373.5,24.6,0,2086.1,3016.2
02-01-2020 0.00,91.7,79.3,165,138.8,391.5,15.2,0,2001.2,2898
02-01-2020 0.30,93.2,82.8,171.4,136.6,390.4,0,0,2092.6,2791.3
02-01-2020 1.00,93.1,80.7,166,131.5,290,0,0,2077.6,2654.6
02-01-2020 1.30,93.6,81.9,171.8,131.4,294,0,0,1910.1,2509.1
02-01-2020 2.00,93.7,82.5,172.1,131.7,294.4,0,0,1850.6,2440.4
02-01-2020 2.30,92.4,81,165,131.6,285.5,0,0,1819.3,2385.8
02-01-2020 3.00,93.2,80,169.4,131.3,291.9,0,0,1772.7,2330.2
02-01-2020 3.30,93.7,83.5,172.8,131.7,295.6,0,0,1760.9,2344.9
02-01-2020 4.00,94.3,84.6,176.8,131.3,298.7,0,0,1766.2,2363
02-01-2020 4.30,93.8,82.5,173.4,131.4,295.3,0,0,1790.2,2357.3
02-01-2020 5.00,93.3,81.6,171.4,131.3,292.1,0,0,1792,2340.8
02-01-2020 5.30,94.7,86.7,178.8,130.9,303.1,0,0,1838.2,2412.1
02-01-2020 6.00,93.5,83.5,173.8,131.8,294.3,0,0,1974.8,2524.9
02-01-2020 6.30,93.5,83.5,172.8,131.8,294.6,0,0,2061,2659
02-01-2020 7.00,132.6,80.5,165,131.7,281.9,0,0,2219.2,2851.3
02-01-2020 7.30,133.2,81,169.1,179.8,313.6,0,0,2343.1,3031.1
02-01-2020 8.00,150.7,80.5,165.4,183.2,307.7,15.3,0,2327.7,3179.2
02-01-2020 8.30,155.9,83,171.1,188.3,337.8,26.1,0,2417.8,3293.9
02-01-2020 9.00,155.3,83.9,174.1,246.3,359.5,25.8,0,2504.4,3462.4
02-01-2020 9.30,173.4,83.5,175.4,291,360.6,26.7,0,2631.6,3595.3
02-01-2020 10.00,172,81.2,170.1,317.5,356.2,22.2,0,2718.2,3678.6
02-01-2020 10.30,167.4,80.7,166,299.5,407.7,20.3,0,2837.3,3792.2
02-01-2020 11.00,176.1,88,240.8,273.2,434.8,29.6,0,2763.8,3842.9
02-01-2020 11.30,171.3,80.5,330.4,267.4,420.9,20.5,0,2895,3955.1
02-01-2020 12.00,171.1,80.7,325.7,268.2,415.4,20,0,2960.9,4024.3
02-01-2020 12.30,173,101.8,336.8,269.2,425,24.2,0,2914.8,4059.6
02-01-2020 13.00,174.6,106.1,342.2,252.7,428.9,27.9,0,2900.6,4060.4
02-01-2020 13.30,157.4,101.1,373,249.1,422.8,22.5,0,2842.8,4008.2
02-01-2020 14.00,155.4,103.1,376.7,249.7,425.9,25.1,0,2767.9,3952.9
02-01-2020 14.30,153.8,100.8,366,248,416.2,20.1,0,2743.7,3920.4
02-01-2020 15.00,153.2,101.8,375,250.8,424.9,21.9,0,2703.7,3927.1
02-01-2020 15.30,161.9,107,424,271.7,314,29.4,0,2759.7,3955.8
02-01-2020 16.00,172.4,101.1,409.3,266.9,287.7,20.1,0,2707.1,3987.6
02-01-2020 16.30,179.5,107.2,345.5,271.6,308.1,149.1,0,2687.6,4113.9
02-01-2020 17.00,173.3,101.1,407.9,262.4,350.1,172.3,0,2721.5,4323
02-01-2020 17.30,186.4,102.2,405.9,269.6,298,195.2,0,2587.3,4400.8
02-01-2020 18.00,186.2,101.1,388.8,261.7,284.8,188.9,0,2575.8,4392.8
02-01-2020 18.30,193.1,101.3,238.5,261.5,284.9,143.2,0,2371.2,4298.7
02-01-2020 19.00,196.5,107.7,212.7,270.4,302.4,158.1,0,2047.6,4135.9
02-01-2020 19.30,180.3,102.2,392.5,287.6,284.8,135.9,0,1905.4,4067.8
02-01-2020 20.00,182.8,106.8,447.9,265.9,304.8,30.4,0,1851.3,3968.5
02-01-2020 20.30,173.3,101.1,375.4,286.3,279.4,26.9,0,1890.4,3806.2
02-01-2020 21.00,181.4,101.3,199.6,270.6,294.7,61.3,0,2029.2,3711.4
02-01-2020 21.30,162.9,101.1,212.7,259.3,283.6,20.4,0,2135.1,3569.4
02-01-2020 22.00,174,91,200.9,219.4,276.9,33,0,2114.3,3461.5
02-01-2020 22.30,147.6,78.4,184.2,244.2,268.4,24,0,2272.7,3361
02-01-2020 23.00,135.8,78.4,201.9,204.5,247.8,22.6,0,2305.7,3280.7
02-01-2020 23.30,140,88.7,222.4,210.1,274.8,24.4,0,2313.9,3269.5
03-01-2020 0.00,130.8,78.4,306.9,222.8,332.4,0,0,2205.3,3168.5
03-01-2020 0.30,132.1,78.4,315,223.6,282.6,0,0,2141.8,3027.2
03-01-2020 1.00,133.8,86,325.4,226.5,300.4,0,0,2065.7,2926.1
03-01-2020 1.30,128.2,78.2,240.8,218,274.1,0,0,2166.9,2878.2
03-01-2020 2.00,131.7,79.8,171.4,175.8,287.2,0,0,1988.8,2745.2
03-01-2020 2.30,132.1,80.5,190.2,143.7,293.3,0,0,2050.7,2713.6
03-01-2020 3.00,132.2,83.7,192.2,134.9,291.8,0,0,1862.9,2644.4
03-01-2020 3.30,132.6,78.9,190.2,133.3,467.5,0,0,1490.9,2579.9
03-01-2020 4.00,133.1,85.7,199.3,178.6,488.1,0,0,1370.9,2569.9
03-01-2020 4.30,132.4,83.2,251.6,176.2,490.5,0,0,1438.3,2586.9
03-01-2020 5.00,130.7,78,238.2,217.7,363,0,0,1501.5,2606.8
03-01-2020 5.30,126.6,78.2,164.7,263,279.8,0,0,1574.5,2597.9
03-01-2020 6.00,128.9,78.4,229.8,264.1,334.3,0,0,1430,2701.6
03-01-2020 6.30,131.6,79.3,243.2,269.7,351.6,3.6,0,1313.8,2890
03-01-2020 7.00,130.2,102.9,232.8,267.2,535.2,15.5,0,1257.1,3083.9
03-01-2020 7.30,133.3,136.5,187.2,266.4,572.1,15.5,0,1266.7,3285.4
03-01-2020 8.00,134.9,103.3,194.9,269.2,738.6,18.2,0,1228.2,3464.6
03-01-2020 8.30,154.2,86,204,271.7,886.6,22,0,1091.8,3532.1
03-01-2020 9.00,153.3,81.4,200.6,271.6,990.5,13.3,0,968.8,3620.3
03-01-2020 9.30,150.5,55.8,345.9,267.1,960.5,10.4,0,1004.3,3767.3
03-01-2020 10.00,171.2,0,403.3,270.1,987.5,59.2,0,953.2,3855.6
03-01-2020 10.30,173.2,0,370.4,271.2,999.2,67.3,0,931.9,3919.6
03-01-2020 11.00,173.7,0,453.6,272.4,1021.8,13.8,0,793.8,3940
03-01-2020 11.30,170.4,0,442.2,288,984.2,10.1,0,796.5,3948.4
03-01-2020 12.00,167.7,0,429.8,283.1,961.3,9.8,0,813.6,3949
