Date (GMT+1),Hydro Run-of-River,Fossil hard coal,Fossil oil,Fossil peat,Fossil gas,Hydro pumped storage,Others,Wind onshore,Load
01-01-2021 0.00,149.8,229.1,0,69.4,770.5,0,0,2087.2,3323.2
01-01-2021 0.30,154.3,234.2,0,65.4,820.7,0,0,2079.1,3241.5
01-01-2021 1.00,152.7,231.9,0,65.5,875.4,0,0,2076.7,3139.7
01-01-2021 1.30,153.3,228.9,0,65.4,773.5,0,0,2114.8,3000.9
01-01-2021 2.00,148.2,229.4,0,65.5,618.6,0,0,2179.4,2911.7
01-01-2021 2.30,156.8,200.5,0,65.5,559.3,0,0,2114.1,2839.2
01-01-2021 3.00,153,175.6,0,65.5,539.5,0,0,2072,2774.8
01-01-2021 3.30,156.3,177,0,40.9,504.9,0,0,2020.4,2700
01-01-2021 4.00,156.1,163.2,0,41.4,512,0,0,2058.5,2704.1
01-01-2021 4.30,156.4,160.3,0,41.4,502.6,0,0,2018.3,2677
01-01-2021 5.00,155.6,161.7,0,41.4,495.7,0,0,2029,2670.3
01-01-2021 5.30,156.3,156.6,0,41.4,511.1,0,0,1988.1,2664.5
01-01-2021 6.00,156.1,158.4,204.3,41.4,503.6,0,0,1852,2674.7
01-01-2021 6.30,155.7,159.1,236.8,41.4,499.3,0,0,1885.4,2719.5
01-01-2021 7.00,150.2,169.7,214,65.4,533.7,9.7,0,1650.6,2729.4
01-01-2021 7.30,158.7,181.1,169.4,65.5,546.5,10.7,0,1644.1,2748.6
01-01-2021 8.00,168.8,207.6,200.9,65.4,537.5,9.9,0,1610.3,2788.3
01-01-2021 8.30,185.6,299.8,187.5,65.5,530.7,9.7,0,1510.6,2764.1
01-01-2021 9.00,198.8,290.4,212.7,65.5,581.8,12.4,0,1494.5,2838.1
01-01-2021 9.30,198.4,333.2,378.4,65.6,775.7,12.8,0,1353.5,2956.2
01-01-2021 10.00,197.4,372.1,436.1,65.5,799.3,11.9,0,1351.8,3088.7
01-01-2021 10.30,196.8,382.8,430.1,65.5,1100.6,10.2,0,1142.2,3211.5
01-01-2021 11.00,197.3,381.4,429.4,65.5,1108.9,9.9,0,1121.1,3348.9
01-01-2021 11.30,194.4,375.7,420.4,93.3,1236.3,15.3,0,1107.9,3454.8
01-01-2021 12.00,197.5,381.2,428.1,113.4,1258.5,15.4,0,1121.5,3551.1
01-01-2021 12.30,199.2,382.3,428.4,114.6,1264.7,20,0,1162.8,3678.7
01-01-2021 13.00,189.6,377.3,420.4,112.3,1278.8,20.4,0,1119.1,3726.8
01-01-2021 13.30,185,381.7,437.1,91.1,1209.4,23.5,0,1121.2,3746.1
01-01-2021 14.00,181.6,375.7,419,87.5,1166.5,20.4,0,1154.3,3720.8
01-01-2021 14.30,179.9,378.2,426.4,65.4,1123.2,20.2,0,1146.5,3706.1
01-01-2021 15.00,179.5,377.3,426.1,65.5,1130,20.4,0,1076,3661.6
01-01-2021 15.30,176.5,371.6,415,65.5,1031.8,19.9,0,1019.8,3704.7
01-01-2021 16.00,180,380.7,429.8,65.5,1028.6,21,0,1044,3779.9
01-01-2021 16.30,197.1,375.9,421.4,107.2,1049.6,20.5,0,1113.4,3899
01-01-2021 17.00,198.1,379.4,427.1,113.3,1181.3,20,0,1188.9,4196.9
01-01-2021 17.30,198.5,380.1,430.4,114.2,1196.9,127.4,0,1059.5,4296.1
01-01-2021 18.00,198.4,382.1,434.4,114.5,1299.8,127,0,982,4270.7
01-01-2021 18.30,197.5,381.7,430.5,114.8,1220,59.1,0,980.5,4158.9
01-01-2021 19.00,197.5,385.6,437.2,116.2,1129.8,46,0,927.7,4030.2
