Date (GMT+1),Hydro Run-of-River,Fossil hard coal,Fossil oil,Fossil peat,Fossil gas,Hydro pumped storage,Others,Wind onshore,Load
01-01-2019 0.00,128.9,0,35.3,170.1,979.2,0,0,603.7,3004.2
01-01-2019 0.30,128.6,0,34.6,219.2,1019.8,0,0,581.6,2955.4
01-01-2019 1.00,128.4,0,28.2,225,808.3,0,0,617.8,2877.1
01-01-2019 1.30,124,0,35.5,226.4,691.9,0,0,610,2769.2
01-01-2019 2.00,123.4,0,35.5,224.6,616.3,0,0,515.7,2630.9
01-01-2019 2.30,118.8,0,34.8,212.2,481,0,0,510,2558.8
01-01-2019 3.00,124.1,0,35.6,190.7,451.6,0,0,490.8,2479.8
01-01-2019 3.30,124.2,0,33.5,208.7,469,0,0,432.4,2433.1
01-01-2019 4.00,124.4,0,36,197.1,458.5,0,0,397.3,2401.8
01-01-2019 4.30,125,0,34.2,205.6,472.5,0,0,339.6,2349.7
01-01-2019 5.00,125.7,0,35.9,202.4,495.6,0,0,302.1,2332.2
01-01-2019 5.30,125.1,0,33.1,202.3,488.5,0,0,293.4,2335.9
01-01-2019 6.00,126.9,0,35.9,204.2,522.7,0,0,264.4,2355.4
01-01-2019 6.30,124.9,0,33.9,269.8,557.3,0,0,253.5,2396.2
01-01-2019 7.00,124.5,0,35.6,271.1,638.7,0,0,228.9,2427.2
01-01-2019 7.30,124.8,0,34.2,314.9,637.1,0,0,196.8,2452.5
01-01-2019 8.00,124.3,0,35.5,340.8,695,0,0,179.1,2465
01-01-2019 8.30,143,0,34.5,339,717.5,19.8,0,143.3,2469.8
01-01-2019 9.00,143.3,0,35,342.6,743.4,25.2,0,129.5,2515.6
01-01-2019 9.30,145.4,0,35.3,343.2,814.4,29.9,0,119.2,2633.3
01-01-2019 10.00,144.5,0,34.5,342,927.6,28.7,0,101.6,2760.9
01-01-2019 10.30,145.1,0,35,342.9,988.8,29,0,97.3,2898.2
01-01-2019 11.00,142.6,0,33.8,337.1,979.8,20.1,0,87.6,3034.8
01-01-2019 11.30,153,0,35.9,336.2,969.7,20.1,0,84.8,3150.6
01-01-2019 12.00,163.5,5.7,38.1,341.8,987.4,27.7,0.7,81.1,3264.1
01-01-2019 12.30,162.1,5.7,39.9,340.2,1044.3,23.8,0.7,72.7,3359.8
01-01-2019 13.00,156.1,5.6,37.8,341.4,1106.7,24.3,0.7,76.6,3425
01-01-2019 13.30,154.6,5.7,40.1,341.4,1142.5,25,0.7,59.9,3427.3
01-01-2019 14.00,159.7,5.7,38.1,341.4,1170.5,24.9,0.7,55.3,3387.1
01-01-2019 14.30,152.6,5.7,39.5,340,1209.3,23.9,0.6,40.5,3367.8
01-01-2019 15.00,158.4,5.7,38.5,339.8,1191.2,21.8,0.7,35.8,3354.2
01-01-2019 15.30,158.4,5.7,40.1,340.3,1196.8,24.4,0.7,23.1,3347.1
01-01-2019 16.00,158.7,5.7,38.3,340.2,1181.8,100.8,0.7,23.2,3387.1
01-01-2019 16.30,158.7,5.7,38.8,340.9,1257.9,185.2,0.7,30.9,3516.4
01-01-2019 17.00,157.6,5.7,85.5,336.9,1352.7,178.6,0.7,54.5,3720
01-01-2019 17.30,157.7,5.7,127.2,339.9,1357.8,180.4,0.7,73.3,3828.1
01-01-2019 18.00,156,6,142.7,335,1340.8,175.8,0.7,87.7,3803.1
01-01-2019 18.30,179.5,5.7,89.6,342,1357.2,187.5,0.7,82,3735.1
01-01-2019 19.00,176.3,5.7,58,339.6,1329.9,181.1,0.7,82.2,3665.6
01-01-2019 19.30,176.3,6,57.2,339,1220.2,179.6,0.7,91.8,3582.4
01-01-2019 20.00,176.4,5.7,56.2,340.3,1190.1,142.5,0.7,88.3,3510.8
01-01-2019 20.30,175,5.7,38.4,335.3,1156,97,0.7,102.2,3422.4
01-01-2019 21.00,173.8,5.7,37.9,341.5,1141.7,25.2,0.7,116.4,3362.8
01-01-2019 21.30,150.4,5.7,37.8,339.5,1102.8,21.6,0.7,99.8,3285.7
01-01-2019 22.00,146.6,5.7,37.1,333.2,1034,19.1,0.7,90.1,3175.9
01-01-2019 22.30,148.8,5.7,37.7,334.5,942.3,17.9,0.7,83,3077.2
01-01-2019 23.00,138.7,0,33.7,339.9,966.6,0,0,80.7,3006.8
01-01-2019 23.30,133.2,0,35.2,341.7,970.9,0,0,73.2,2981.3
02-01-2019 0.00,128.7,0,33.5,337.5,947,0,0,51.3,2868.7
02-01-2019 0.30,116.4,0,35.4,335.5,859.2,0,0,44,2758.9
02-01-2019 1.00,117,0,33.7,336.6,863.2,0,0,58.9,2652.9
02-01-2019 1.30,114.2,0,34.7,340.7,784.6,0,0,59.8,2546.6
02-01-2019 2.00,114.3,0,33.4,341.8,777.4,0,0,89.5,2480.7
02-01-2019 2.30,114.2,0,34.4,341.3,674.5,0,0,98.6,2427.2
02-01-2019 3.00,113.6,0,34,337.2,655.2,0,0,98.4,2390.2
02-01-2019 3.30,115.2,0,33.7,341.9,617.4,0,0,96,2374.7
02-01-2019 4.00,115.7,0,34.7,342.3,588.1,0,0,93.9,2375.9
02-01-2019 4.30,114,0,33.2,341.1,577.3,0,0,104.8,2364.3
